username,sold_price,designer,score,transaction,category_1,category_2,category_3,description,sub_title,image_count,size,color,condition,feedback_count
jorgesarchive,29,Nike x Streetwear,5,1732,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"-shipping is $9 in usa
-message me for any questions!",Vintage y2k Nike Florida Gators Blue Graphic Hoodie Sz S,4,Men's / US S / EU 44-46 / 1,Navy,Used,601
DeeSstore,61,Nike x Streetwear,5,1088,Nike Menswear,Nike Bottoms,Nike Casual Pants,Deadstock 💥,💥 Weekly Steal💥 DS Vintage y2k Nike Brown Cargo Pants Swoosh,13,Men's / US 32 / EU 48,Brown,New,318
Mendy7,132,Nike x Vlone,5,79,Nike Menswear,Nike Tops,Nike Long Sleeve T Shirts,"- Size Large
- Good condition
- Slight mark on right arm
- Slim fit
- Extremely rare. Nike no longer produces these longsleeves",SUPER RARE VLONE NIKE LONGSLEEVE,8,Men's / US L / EU 52-54 / 3,Black,Used,6
PoiseLab,30,Nike x Streetwear,5,541,Nike Menswear,Nike Tops,Nike Jerseys,"Vintage Carmelo Anthony Denver Nugget Jersey
Good Condition
Flaws As Seen
DM Offers Or Questions!
#vintage
#90s
#nba",Carmelo Anthony Denver Nugget Jersey,4,Men's / US S / EU 44-46 / 1,White,Gently Used,240
cgarciaweger,153,Nike x Stussy,5,49,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,worn once,Stussy Nike NRG Crewneck,6,Men's / US L / EU 52-54 / 3,Pink,Gently Used,15
voguesquared1,35,Nike x Vintage,5,13667,Nike Menswear,Nike Tops,Nike Short Sleeve T Shirts,"Nike NFL Mens XL Cincinnati Bengals Football Raised Helmet Short Sleeve T-Shirt
Mens T-Shirt
Has distressing
Mens size XLarge
Measurements are:
25 inches underarm to underarm
29.5 inches top to bottom
Black
Polyester Blend
US Shipping is FREE and, Canada is $15 and international is $24
Check out my other items in my store!
Y345",Nike NFL Cincinnati Bengals Football Short Sleeve T-Shirt,11,Men's / US XL / EU 56 / 4,Black,Used,5658
casinator415,105,Nike,5,2448,Nike Menswear,Nike Footwear,Nike Hi Top Sneakers,"Nike Kyrie 6 x Concepts Khepri 2020 Size 8 Mens. Used condition, please see photos before purchasing. Comes with original box and extra laces. Fast free shipping in the United States!
International buyers message me for a quote!",Nike Kyrie 6 x Concepts Khepri 2020 Size 8 Mens,11,Men's / US 8 / EU 41,Pink,Used,1341
dail3y_finds,70,Nike x Streetwear,5,12,Nike Menswear,Nike Bottoms,Nike Overalls Jumpsuits,"BRAND: NIKE
SIZE: XXL
CONDITION: GENTLY USED
COLOR: GREY / BLACK",Vintage Nike Tracksuit,12,Men's / US 38 / EU 54,Grey,Gently Used,6
grails864,250,Nike,5,274,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Size 11
OG All
hearing reasonable offers",Nike dunk low Doernbecher Size 11,7,Men's / US 11 / EU 44,White,Gently Used,133
SUMBREROELMZ,96,Nike,5,958,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Nike Ja’marr Chase Chosen One $ Hoodie Sz L
Brand new with tags
Please let me know if you have any questions or concerns
All sales final
Sold as is
No returns or exchanges",Nike Ja’marr Chase Chosen One $ Hoodie Sz L,6,Men's / US L / EU 52-54 / 3,Black,New,525
NeoVNTG,120,Manchester United x Nike,5,362,Nike Menswear,Nike Tops,Nike Jerseys,"There is a cracked logo on the back, an iron mark on the front, and a small stain on the right. 100% polyester. Ask any questions",Vintage 2004 David Beckham Long Sleeve Jersey Nike,25,Men's / US L / EU 52-54 / 3,Red,Used,115
szafatrapera,32,F.C. Barcelona x Nike,5,254,Nike Menswear,Nike Tops,Nike Long Sleeve T Shirts,"Condition 9.5/10
72x51cm
I also invite you to my other auctions",FC Barcelona Soccer Jersey Longsleeve Nike,5,Men's / US M / EU 48-50 / 2,Black,Gently Used,80
TheRoomVintage,36,Hockey x Nike,5,1078,Nike Menswear,Nike Outerwear,Nike Light Jackets,"➖Thanks for being here, below you can find useful information about this product!
➖Size: XL
➖Condition: Lightly Worn
➖Era: 2000’s
➖Kindly examine all photos thoroughly to see the condition of the item for yourself.
➖Please consider following us🫂
➖Daily listings of fresh handpicked goods
➖Don’t hesitate to send a message if you have any further questions",2000’s Nike Bauer IIHF Team Denmark Hockey Jacket Swoosh,5,Men's / US XL / EU 56 / 4,Red,Gently Used,444
ThriftAcademy,42,Nike x Streetwear,5,364,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Great condition
Size Large",Vintage Nike Hoodie,3,Men's / US L / EU 52-54 / 3,Grey,Gently Used,121
cozysekai,45,Nike x Vintage,5,1224,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"An early 1990s Nike quarter-zip sweatshirt in baby blue. Gray tag. Has an embroidered swoosh on front.
Size Large. Make sure the measurements are good for you.
Follow on IG @cozysekai to keep up with our Daily Drops.
I frequently post Russell, Carhartt, Nike, Harley Davidson & Nature related vintage.",1990s NIKE QUARTER ZIP BLUE SWEATSHIRT / GRAY TAG,6,Men's / US L / EU 52-54 / 3,Baby blue,Used,560
Liquidliife,352,Fear of God x Nike,5,111,Nike Menswear,Nike Footwear,Nike Hi Top Sneakers,"Lightly used, 8.5/10 condition. No flaws, scuffs, or marks. Please see pictures closely for details. Bought of StockX, 100% authentic. See feedback also for history. No new buyers for this item, sorry. USA only. Price is firm!",Nike Air FOG 1 Oatmeal Size 10,10,Men's / US 10 / EU 43,Oatmeal,Gently Used,72
archive_relist,180,Custom Sweatshirt x Nike,5,90,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"100% authentic
Please check measurements
Get discount if u buy more then 1item from me!
Follow my shop / check my other items
Woldwide shipping/ Open to offers",🌖Reworked Nike (Skeleton) Vintage sweatshirt🌖,6,Men's / US XL / EU 56 / 4,Yellow,Gently Used,21
YouVintagewardrobe,65,Nike x Rare,5,32,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Hello, welcome to our store
Please subscribe to my store🧢🥼
Vintage and luxury clothing store! 👁
I often throw fresh positions ❗️
Worldwide shipping 🗺
Check the dimensions before ordering the product, as the sizes may differ!
Vintage NIKE Big Logo Black Size XLL
Size XLL
The state of things. 7/10 👍🏽
Having slightly lost color, a nuance on the sleeve
delivery from Ukraine and takes from 10 to 20 working days!🏎
✅Sometimes there are delays with dates, so do not panic, everything is in safe hands, each of you will receive your order 🤝
PLEASE CHECK THE ACTUAL SIZE CAREFULLY, NO RETURNS OR COMPLAINTS ABOUT THE WRONG SIZE ACTUAL.
>>> PLEASE LEAVE YOUR PHONE NUMBER on the note while making a purchase, as the shipping company always needs the phone number to help to deliver.
>>> This item will be shipped along with Tracking Number after received a completed payment.",Vintage NIKE Big Logo Black Size XLL,7,Men's / US XXL / EU 58 / 5,Black white,Used,7
MillerMovement,50,Nike x Undefeated,5,12,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Dunk VS AF1 pack
Worn a few times but basically new",Air Force 1 Low SP - Undefeated,9,Men's / US 8.5 / EU 41-42,Green,Gently Used,10
monq_shop,90,Nike x Streetwear,5,212,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,"!!!! SEE MY OTHER PRODUCTS!!!!
Condition 10/10 extended knees
see actual measurements.

Worldwide shipping: Estimated delivery time 14-30 days Please be careful to ask any specific questions about an item before purchasing. I can send you additional photo information if needed.
🧨Send me your suggestions🧨
@PLEASE LEAVE YOUR PHONE NUMBER WHEN YOU BUY@",Nike Track Vintage Pants Drill Nylon Y2K Swoosh Joggers Rare,14,Men's / US 30 / EU 46,Black,Gently Used,68
ODINSHOP,45,Nike,5,106,Nike Menswear,Nike Tops,Nike Polos,"I will consider any offers !!!
Size: M
Condition: 5/5.
If you have any problems with a clothes, please
email me first before leaving negative feedback or
opening a case! All problems are solved!
Post signed for with tracking number
AVERAGE SHIPPING TIME:
USA/CA: about 30-50 Days.
ALL EU : 30 about DAYS .
Other : Up to 30 days .
covid delay up to 30 days.
Please be careful and ask any specific questions
about items before purchasing.
We are willing to send you additional detailed
photos as needed.
Ask whatever you want, I will answer any question
Item condition based upon personal interpretation.
no refunds, returns, or
exchanges.
If you like what l'm selling don't forget to click
""Follow Seller"" next to my name! This will allow you
to see all of my current and upcoming listings in a
new personalized feed under the ""My Feed"" tab for
a more curated Grailed browsing experience.",Nike Court Challenge T-shirt Polo Sport,4,Men's / US M / EU 48-50 / 2,White,Gently Used,40
filesvintage,62,Nike x Streetwear,5,383,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,"Vintage Nike Drill Pants
Condition: Good.
Size: XXL( 107cm).
❗️Very fast shipping❗️Item will be shipped within 1-2 business days after payment received
💸Send your offers if you do not agree with my price💸
❤️🍄If you like what I'm selling make sure to click ""Follow Seller"" next to my name! This will allow you to keep up with all of my new listings in the news feed under the ""My Grails""",Vintage Nike Nylon Track Pants,10,Men's / US 36 / EU 52,Black,Gently Used,143
foxyscloset,25,Collegiate x Nike,,16,Nike Menswear,Nike Tops,Nike Jerseys,"2XL
Nike Team Basketball Jersey
Open to Offers
DM For More Pictures",Texas Mens Basketball Jersey,3,Men's / US XXL / EU 58 / 5,Orange,Gently Used,
panda420,75,Nike,5,4,Nike Menswear,Nike Outerwear,Nike Light Jackets,"Condition 9.9/10
Ship from Malaysia 🇲🇾
Kindly pm if you have any question
PRICE NEGOTIABLE 👍🏻",NIKE GOLF PULLOVER LIGHTWEIGHT WINDBREAKER,7,Men's / US XXL / EU 58 / 5,Blue,Gently Used,3
filipzkonopi3,44,Nike x Vintage,5,528,Nike Menswear,Nike Tops,Nike Long Sleeve T Shirts,"Material slightly washed.
24h shipping time (excluding weekend and public holidays)
Delivery time:
EU 10days
UK 2 weeks
USA 2 weeks
Asia 2 weeks
New Zealand 2 Weeks
Australia more than 4 weeks
This is the average delivery time, it could be faster.
When buying, provide a telephone number in the event of a lost package.
If you want to buy bulk, write pv, we'll get along.",Vintage big logo Nike Longsleeve y2k XL,5,Men's / US XL / EU 56 / 4,Navy blue,Used,207
iamki3t,72,Jordan Brand x Nike,,11,Nike Menswear,Nike Outerwear,Nike Light Jackets,"Size : S
Condition : 9/10
Fit pic : 183 cm / 75 kg",🖤 NIKE AIR JORDAN ANORAK NYLON JACKET,6,Men's / US S / EU 44-46 / 1,Black,Used,
vin-offender,30,Nike x Soccer Jersey,5,115,Nike Menswear,Nike Tops,Nike Jerseys,"OACCEPTING YOUR OFFERO BEFORE PURCHASING PLEASE CHECK CONDITION.
AND MEASUREMENTS✓ ITEMS
Condition:
8/10
Size: M
Postage: I accept worldwide combined
postage.
Shipping worldwide: 15$(EU),15$(US)
Parcels will be delivered 100%
Shipping time is from 1 to 4 weeks
I'm opened to your offers Please, OFFER your price and don't be afraid
Look at my other items for sale.
If you have any questions, please, contact me. Payment: Pay Pal only!
Thanks in advance! Yours vin-offender",Soccer jersey Nike Brazil,10,Men's / US M / EU 48-50 / 2,Yellow,Gently Used,34
JonBoroda,30,Made In Usa x Nike,5,147,Nike Menswear,Nike Accessories,Nike Hats,"Message me before buying and offer me your best price.
good condition 8/10
Before ordering, carefully read the product description!
Look at the photo carefully
Do not forget that you buy what you see in the photo, if there are any questions, write I will be happy to answer!
SHIPPING
I will ship by ""UkrPost"" Registered Airmail. I will ship the items in the next 3 business days of payment receive, but it could take 3 days for the post office to process the packages and left the country. Delivery usually takes :
USA or Canada: 10-20 business days United Kingdom: 10-15 business days Europe: 10-20 business days But it may vary.",Rare Nike cap big logo,9,ONE SIZE,White,Used,38
givingyougrails,235,Nike,5,1468,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Brand new, size 9 Men’s. Comes in original box.
➡️ Hearing all BINDING offers👌🏽 Please only message if you’re a serious buyer, let’s not waste eachother’s time!
———————————————
All items are 100% authentic guaranteed.
Shipped 1-2 day USPS priority mail within 24 hrs of purchase. Every order is double boxed and fully protected. We are not responsible for any naturally occurring defects that passed Nike’s quality control (stray threads, glue spots, marks on uppers, poor leather cuts, ashy soles, discolorations, etc.) Better deals found through the info in our page bio. Don’t miss out on something you like, things move fast. One love. -GYG",Nike Dunk Low Retro Team Red,13,Men's / US 9 / EU 42,Team red/white,New,663
DavidBedoya,90,Nike,5,13,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Nike SB Dunk Low Pro
Size 10.5
Used/ flaws shown
SEND OFFERS",Nike SB Dunk Low Pro Black/ Wolf Grey- Canyon Purple,9,Men's / US 10.5 / EU 43-44,Black,Used,7
harpaganika_,76,Nike,5,1094,Nike Menswear,Nike Footwear,Nike Hi Top Sneakers,"US 10
EU 44",Nike Flystepper 2K3 US 10 EU 44,6,Men's / US 10 / EU 43,Red,Gently Used,309
TraceyLovePeculiar,18,Nike,,5,Nike Menswear,Nike Bottoms,Nike Shorts,True 2 size,Graphic shorts,3,Men's / US 28 / EU 44,White,Used,
RichDuck,25,Nike x Streetwear,5,331,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Please see all photos
Please follow me for daily updates.
1)Returns and Refunds Policy
-NO RETURNS AND REFUNDS
Carefully check description and measurements of actual item
Check photos (defects, tags) and time of delivery
2) DELIVERY.
Worldwide delivery 7-28 days
Shipping to Canada takes a month or more
PLEASE DO NOT LEAVE NEGATIVE AND NEUTRAL FEEDBACK WITHOUT MY LEADING AND SOLUTION OF THE SITUATION.",Nike vintage big logo zip hoodie Size:XL,8,Men's / US XL / EU 56 / 4,Blue,Gently Used,116
a_jmz,70,Nike x Supreme,5,15,Supreme Menswear,Supreme Accessories,Supreme Supreme,Brand new. comes w 2 supreme stickers,Supreme Nike Jacquard beanie,4,ONE SIZE,Black,New,6
EgoStore47,53,Nike x Vintage,5,1584,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Vintage 90s Nike WhiteTag Boot Swoosh Zip Up Fleece Jacket
Size XL🚨Measurements added🚨
Comes as shown, No staining, No holes
Ship next available day ☀️✈️🪐",Vintage 90s Nike Swoosh Zip Up Fleece Jacket,6,Men's / US XL / EU 56 / 4,Grey,Gently Used,639
aliteracy_store,65,Nike x Streetwear,5,38,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Size: XL
Condition: used. Minimal lost and faded color. Slightly torn hole at the bottom
ALWAYS OPEN FOR YOUR OFFERS
👁️Please see all photos👁️
Be sure to check out all the other great items in my store",Vintage 80s/90s Nike Air Athletic zip hoodie rare retro y2k,7,Men's / US XL / EU 56 / 4,Green,Used,13
vintage_pierogi,80,Nike x Sneakers,5,1595,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"rare hard to find
am1 essential white/blue cw
10us
used good condition
amazing sneakers",Nike Air Max 1 Essential White Blue 2013 Rare Sneakers Hype,8,Men's / US 10 / EU 43,Blue white,Used,563
CalZeriimar,29,Nike x Vintage,5,123,Nike Menswear,Nike Tops,Nike Long Sleeve T Shirts,"⛈️ Embroidered swoosh
⛈️ Vintage fading",Vintage Nike Center Swoosh Longsleeve Tee,4,Men's / US L / EU 52-54 / 3,Blue,Used,62
tarastyvodar,105,Nike x Nike ACG,5,819,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,"FOLLOW MY SHOP AND LISTINGS YOU LIKE
REGULAR ITEM UPDATES AND PRICE DROPS
Vintage Y2K Nike drill pants
Size XL (advise to check the measurements, as the sizes sometimes differ).
Waist - 41 cm
Outseam - 111 cm
Inseam - 79 cm
Leg opening - 14.5 cm
Thigh - 32.5 cm
Total condition 9/10
Used, has small signs of wearing .
Please check all Photos , also i can make detailed photos.
(all our items are measured laying flat)
_
Open to offers. New drop every day.",Vintage Y2K Nike drill pants,14,Men's / US 34 / EU 50,Black,Gently Used,199
muldoon_shane,170,Jordan Brand x Nike,5,48,Nike Menswear,Nike Footwear,Nike Hi Top Sneakers,"9/10
OG ALL box and laces",shattered backboard 3.0 nike jordan,8,Men's / US 8.5 / EU 41-42,Black/orange,Gently Used,20
CozyboiShop,115,Nike,5,94,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Used
Nike SB Dunk Low Pro Ironstone
No Box
Size: Men's US13
Color: Olive/Red
Accept Offers",Used Nike SB Dunk Low Pro Ironstone,10,Men's / US 13 / EU 46,Green/red,Used,46
kouu,65,Jordan Brand x Nike,5,627,Nike Womenswear,Nike Footwear,Nike Hi Top Sneakers,"size - 5.5Y (7 womens)
condition - 9/10 barely worn
shipping - 1-3 days to ship depending on day
message me with any questions and I willl be glad to answer. offers are always welcome. Items always washed before shipping. message for measurements",Jordan 13 Retro Gym Red Flint Grey,11,Women's / US 7 / IT 37,White/red,Gently Used,306
BE715,250,Nike,5,512,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Nike Comme Des Garcons Air Max Sunder
Size:10
Color: White/Black
Condition: 9/10 - Lightly Worn twice with minimal signs of wear. Please look at pics carefully, comes with OG box and OG black laces",Nike Comme Des Garcons Air Max Sunder,9,Men's / US 10 / EU 43,Black/white,Gently Used,393
King0fLuxury,95,Nike x Nike ACG,5,285,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Nike Vintage Fleece Centre Logo Pocket
Size M
Condition 9/10",Nike Vintage Fleece Centre Logo Pocket,8,Men's / US M / EU 48-50 / 2,Grey,Gently Used,158
MarcO_shop_Latvia,110,Nike x Soccer Jersey,,4,Nike Menswear,Nike Tops,Nike Short Sleeve T Shirts,"Very good condition. 9/10
Shipping from Baltic states 🇱🇻.
Very cool vintage T-shirt Arsenal.
More info PM.
Look my acc.👀",1997 - 1999 Arsenal away football shirt.,8,Men's / US M / EU 48-50 / 2,Multicolor,Gently Used,
isaiahcigar,36,Nike x Soccer Jersey,5,37,Nike Menswear,Nike Tops,Nike Jerseys,"Inter Milan 2014-15 kit
Size medium
Great condition
Dm if you have any questions
US SHIPPING ONLY",Inter Milan 2014 jersey,7,Men's / US M / EU 48-50 / 2,White,Used,3
Borchyk,45,Nike x Streetwear,5,527,Nike Menswear,Nike Bottoms,Nike Shorts,"FOLLOW MY SHOP AND THIS LOT HAVE REGULAR THE PRICE DROP
Carefully check our flat lay measursements and compare to your closet thet fits you, dont measured by tag.Also I can make detailed photos.
Size on Tag: L
Details Mesurement
Belt: min 44 cm
lenght: 45 cm
Outleg: 33 cm",Nike big swoosh streetwear vintage shorts,9,Men's / US 34 / EU 50,Navy blue,Worn,128
polekarbanat,75,Nike x Sportswear,5,8,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"super zip hoodie from Nike, size by tag L , I recommend",Nike tech Fleece,5,Men's / US L / EU 52-54 / 3,Grey,New,2
Green_coconut,45,Hype x Nike,5,24,Nike Menswear,Nike Tops,Nike Short Sleeve T Shirts,"🧷Condition :
📌Brand : Nike. Hand made tie-dye.
📏Tag size : Xl.
📝Open to your offers!
☎️Please do not forget to write your phone number after placing your order!
✅Be sure to see all the photos , measurements, and carefully read the description!
📦Shipping time takes longer due to war⚔️ in my country, approximate shipping time is ~ 3-5 weeks.

⁉️I will answer all your questions at any time, about the item and delivery.
‼️If you have any problems, write to me!
✔ Subscribe and check out my others item's!",Tie-dye centr swoosh Nike T-shirt 🔥,9,Men's / US XL / EU 56 / 4,Multicolor,Used,9
supreme_li_,205,Jordan Brand x Nike,5,206,Nike Menswear,Nike Footwear,Nike Hi Top Sneakers,"100% authentic
pre-owned no box",Jordan 1 High “Knicks” size 9,7,Men's / US 9 / EU 42,Blue,Used,109
villainvisions,275,Nike,5,208,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"2020 Nike Syracuse Dunk Low sz 7.5M / 9W
- DS with OG all
- Comes with extra laces, great leather uppers from 2020 (way better)
- Ready to ship!",2020 Nike Syracuse Dunk Low sz 7.5M / 9W,6,Men's / US 7.5 / EU 40-41,Orange,New,93
elqu,45,Nike x Streetwear,5,44,Nike Menswear,Nike Bottoms,Nike Sweatpants Joggers,"Size medium
No flaws great condition
Message me with any questions",Vintage Black Nike Trackpants,4,Men's / US 30 / EU 46,Black,Gently Used,25
BadtimeStudio,30,Nike x Vintage,5,368,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"-Good condition Still look good in vintage
***Chest 23 inches***
***Length 27 inches***
-please view all of the pictures. They will serve as the best description as to over all condition
-payment:accept paypal only
-shipping
shipping worldwide
by registered airmail (small package)
Thai post registered.
receiving the item within 2-5 week working after shipped
Check item status out of my country:
http://track.thailandpost.co.th",Vintage Nike X Rhode Island Sweatshirt,4,Men's / US L / EU 52-54 / 3,Black,Used,83
HouSells,40,Nike x Vintage,5,106,Nike Menswear,Nike Bottoms,Nike Shorts,"Very fire Og Nike Shorts
Good OG logos
Red/White
Strings to adjust size
Fit 33-36 best",OG Nike Logo Shorts,2,Men's / US 34 / EU 50,White,Used,43
saintghost,95,Nike x Nike ACG,5,171,Nike Menswear,Nike Outerwear,Nike Light Jackets,"Great condition for its age.
Very high quality jacket as acg never disappoints with their quality.
A rare and unique piece.
All sales final. Thanks",Vintage nike acg yellow grey parka rain jacket,9,Men's / US M / EU 48-50 / 2,Grey,Gently Used,101
Casual_VntShop,60,Nike x Streetwear,5,2504,Nike Menswear,Nike Outerwear,Nike Bombers,"Please see all photo
Nike
Size L
Good Vintage Condition
Measurements
Shoulder to Shoulder 48 cmn(18,8 in)
From armpit to the armpit 60 cm (23,6 in)
Length 68 cm (26,7 in)
Shoulder Sleeve Length 67 cm (26,3 in)
Subscribe to my store, I replenish the range 3 times a week
I accept combined delivery
If you have any questions or problems, please contact me, I will help you in the shortest time.
Please don't leave negative or neutral feedbacks without contacting with me.",Men’s Bomber Jacket Nike Vintage Size L,11,Men's / US L / EU 52-54 / 3,Red,Used,742
CERTIFIED-HOOD-CLASSIC,78,Nike,5,60,Nike Menswear,Nike Footwear,Nike Hi Top Sneakers,"This pair is in excellent condition
9/10 judge by photos
#YE24 YE24 BALENCIAGA GUCCI PRADA","SB Dunk High Pro “Dream Team”,Obsidian 2017",7,Men's / US 7 / EU 40,Obsidian navy,Gently Used,22
CERTIFIED-HOOD-CLASSIC,93,Nike x Vintage,5,60,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"TAKE YOUR TIME AND CHECK MY VINTAGE GALLERY🦹🏿‍♂️
DON’T MISS YOUR GRAIL💥
—————————————————————
WORLDWIDE SHIPPING
——–——————————————————
VTG Nike Sweatshirt
Tagged - Large
Laid flat measurements are dropped below.
————————————————————
CONDITION:
No smells. An item is washed and steamed.
Flawless condition. Perfect shape
——–——————————————————
FOLLOW TO MY STORE✅",Vintage 90s Nike Athletic Spellout Center Logo Crewneck,9,Men's / US L / EU 52-54 / 3,Cream,Gently Used,22
PWROFGRAIL,40,Nike,5,243,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"Nike Golf Windbreaker V Neck Pullover Jacket Mens Sz XL Goodyear Racing
Recommended size: XL
Got questions? Message me and I'll make sure they're all answered!
Stay fly, everyone!",Nike Golf Windbreaker V Neck Pullover Jacket Men’s Sz XL Goodyear Racing,4,Men's / US XL / EU 56 / 4,White,Used,57
Bobbyhummer,167,Nike x Off-White,5,12,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,Brand new size Large *IN HAND*,Off-White x Nike 006 Fleece Hoodie black,6,Men's / US L / EU 52-54 / 3,Black,New,2
PrimaSortVintage,64,Nike x Vintage,5,514,Nike Menswear,Nike Outerwear,Nike Light Jackets,"Nike Vintage light Windbreaker jacket Nylon 90s.
Size L.
Condition 9/10 less defects.",Vintage Nike 90s Light Jacket Nylon Windbreaker Swoosh,9,Men's / US L / EU 52-54 / 3,Burgundy,Gently Used,246
sell_em_all,55,Nike x Streetwear,5,1304,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"- Size : L
- Preowned Condition (stains on the belly)
Measurements :
Offers are accepted. Need a discount? Please let me know in messages.
Payment:
PAYPAL ONLY!
VALUE AND W.W. SHIPPING:
I always mark items as gift with 10$ value. If you have picky customs we can do a lower grade.
⠀
SERVICES AND FEES:
I do not hold any responsibility for any customs fees / formalities etc. I am ready to do whatever you ask to help you avoid it but if they charge you – I will not share this cost. DHL etc are available if you pay.",Vintage Y2K Nike Rugby Polo Shirt,8,Men's / US L / EU 52-54 / 3,Black,Gently Used,428
Salmon_warehouse,80,Nike x Streetwear,5,302,Nike Menswear,Nike Tops,Nike Polos,"Vintage Nike Spell Out Swoosh Long Sleeves Polo Shirt
Size : L
Pit : 24 inches
Length : 27 inches
Color: Grey
Condition: 7/10 Used good. Looks good in vintage condition
Please let me now if you have any questions
No Refund !!!!!
Item will shipped in 3-5 days after payments
Please give us your Name address and phone no. after you purchasing.
My IG store salmon_warehouse
Thanks !",Vintage Nike Spell Out Swoosh Long Sleeves Polo Shirt,9,Men's / US L / EU 52-54 / 3,Grey,Gently Used,87
Red_Pepper,35,Nike x Soccer Jersey,5,713,Nike Menswear,Nike Accessories,Nike Hats,"90's BVB Borussia Dortmund Hat Vintage Soccer team Football
Has signs of wearing
- NO CUSTOM TAX. I DECLARE ALL ITEMS AS ‘GIFT’.
- Worldwide Shipping (With Tracking Number!
!!! PLEASE LEAVE YOUR PHONE NUMBER DURING PURCHASE !!!
Delivery time : 
12-35 days for USA 
11-27 days for Europe
                    Australia, New Zealand, Iceland, Canada countries: 28-60 days 
                    ( depends only on postage service of destination country)
please look carefully at the photo, and check the measurements
if you have questions - contact me)",90's BVB Borussia Dortmund Hat Vintage Soccer team Football,11,ONE SIZE,Black,Used,313
sknight,133,Jordan Brand x Nike,5,101,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Mens Size 7.
Gently used. Condition as shown in photos.",Air Jordan 11 Retro Low Snakeskin 2019,6,Men's / US 7 / EU 40,White,Gently Used,29
JazzNeckbreakin,175,Nike,5,658,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Nike Dunk Low White / Sail
“Coconut Milk”
Size 9 mens / 10.5 if women’s
Brand New
Comes with original box and receipt
$175",Nike Dunk Low White / Sail Coconut Milk,8,Men's / US 9 / EU 42,White sail,New,346
metashop,56,Nike x Streetwear,5,61,Nike Menswear,Nike Tops,Nike Sweatshirts Hoodies,"condition 9/10
size M",Nike vintage sweatshirt hoodie,7,Men's / US M / EU 48-50 / 2,Серый,Gently Used,19
oneebqaisar,510,Clot x Nike,5,60,Nike Menswear,Nike Footwear,Nike Low Top Sneakers,"Brand New Nike Air Force 1 ""Clot 1World""
Size 10.5
Comes with original all
Flaw on right sole (from storage - believe the receipt ink bled onto the sole)","Brand New Nike Air Force 1 ""Clot 1World"" Size 10.5",8,Men's / US 10.5 / EU 43-44,White,New,28
JacobBru,74,Nike x Soccer Jersey,5,1236,Nike Menswear,Nike Tops,Nike Jerseys,"Condition 9/10
Accepting All Reasonable Offers 🤝
Shipping Worldwide 🌍
Message for Additional Pictures, Measurements & Info
Check out my Insta @the_bru for Exclusive Deals & Weekly Drops 📸
Your Go To Soccer Jersey Plug in North America 🔌 🇺🇸
#soccer #soccerjersey #footballshirts #spurs #nikejersey",Spurs Mousa Dembele 2017-2018 Away Jersey,3,Men's / US L / EU 52-54 / 3,Navy,Gently Used,557
Lovewithoute,23,MLB x Nike,5,490,Nike Menswear,Nike Tops,Nike Short Sleeve T Shirts,"Vintage y2k Houston astros center swoosh graphic tee. The tee is in great condition for its age and has no major flaws. Tag has been cut but fits a men’s S/M. Great graphic on this tee and no major flaws. Minor stains and distressing is expected. Can provide measurements.
Tags:
#vintage #houston #astros #streetwear #sportswear",Vintage 90s Center Swoosh Houston Astros tee size S,5,Men's / US S / EU 44-46 / 1,Grey,Used,225
DurdleTurtle,135,Jordan Brand x Nike,5,20,Nike Menswear,Nike Footwear,Nike Hi Top Sneakers,"Good condition, worn less than 10 times.",Jordan 1 Chicago Black Toe Mids,8,Men's / US 8.5 / EU 41-42,White black red,Gently Used,7
