main_brand,color,sold_price,category,score,size,genda,condition_encoded
Guess,Black,105.0,Outerwear,5.0,xxl,Men,0
Gap,Green,100.0,Outerwear,5.0,m,Men,2
Converse,multi_color,60.0,Footwear,5.0,m,Men,1
Versace,Black,65.0,Bottom,5.0,l,Men,2
Yves Saint Laurent,Black,187.0,Acceorie,5.0,ONE SIZE,Men,0
Maison Margiela,multi_color,170.0,Footwear,5.0,s,Men,2
Issey Miyake,multi_color,130.0,Acceorie,5.0,ONE SIZE,Men,2
Fruit Of The Loom,Navy,150.0,Top,5.0,l,Men,2
Louis Vuitton,Brown,140.0,Acceorie,5.0,ONE SIZE,Men,1
Rick Owens,Brown,140.0,Footwear,5.0,s,Men,1
Number (N)ine,Indigo,333.0,Bottom,5.0,m,Men,2
NBA,White,200.0,Top,5.0,xl,Men,2
Fila,White,67.0,Top,5.0,m,Men,1
Versace Jeans Couture,Blue,110.0,Tailoring,5.0,xxl,Men,2
Anti Social Social Club,Grey,130.0,Top,5.0,m,Men,0
Undercover,Black,75.0,Top,5.0,m,Men,2
Kanye West,Camo,125.0,Top,5.0,l,Men,0
Supreme,Brown,197.0,Outerwear,5.0,xl,Men,0
Takahiromiyashita The Soloist.,Black,57.0,Footwear,5.0,m,Men,3
Travis Scott,Black,55.0,Top,5.0,xl,Men,0
Tommy Hilfiger,Blue,65.0,Bottom,5.0,s,Men,2
Champion,Navy,95.0,Top,5.0,xl,Men,2
Hedi Slimane,Black,360.0,Bottom,5.0,xs,Men,1
Valentino,White,95.0,Top,5.0,m,Men,2
Seditionaries,Pink,57.0,Top,5.0,l,Men,1
Hawaiian Shirt,Brown,99.0,Top,5.0,xl,Men,1
Ysl Pour Homme,Navy,235.0,Outerwear,5.0,m,Men,1
Levi's,Denim,85.0,Bottom,5.0,l,Men,2
Reebok,Red,110.0,Footwear,5.0,l,Men,0
Stussy,Black,140.0,Footwear,5.0,s,Men,0
Off-White,White,162.0,Footwear,5.0,m,Men,1
Military,Black,115.0,Bottom,5.0,l,Men,1
Hanes,Black,39.0,Top,5.0,xl,Men,1
Nike,Brown,720.0,Footwear,5.0,m,Men,2
Calvin Klein,Brown,43.0,Bottom,5.0,l,Men,2
Palace,multi_color,68.0,Acceorie,5.0,ONE SIZE,Men,0
Ralph Lauren,multi_color,80.0,Acceorie,5.0,ONE SIZE,Women,1
Saint Laurent Paris,Black,582.0,Footwear,5.0,m,Men,0
Kapital,Navy,65.0,Acceorie,5.0,ONE SIZE,Men,0
Disney,Grey,35.0,Top,5.0,l,Men,2
Distressed Denim,Blue,60.0,Bottom,5.0,m,Men,1
Kappa,Black,40.0,Bottom,5.0,s,Men,1
Lacoste,Brown,55.0,Top,5.0,m,Men,1
Avant Garde,Grey,166.0,Top,5.0,l,Men,1
Virgil Abloh,White,250.0,Top,5.0,xxl,Men,1
Russell Athletic,Navy,34.0,Top,5.0,xs,Men,3
Mickey Mouse,Black,198.0,Outerwear,5.0,l,Men,2
Burberry,multi_color,50.0,Acceorie,5.0,ONE SIZE,Men,2
Acne Studios,Green,100.0,Top,5.0,l,Men,2
Balenciaga,Black,280.0,Bottom,5.0,m,Men,1
Band Tees,Black,415.0,Top,5.0,m,Men,1
Harley Davidson,Black,65.0,Top,5.0,m,Men,2
Polo Ralph Lauren,multi_color,39.0,Top,5.0,l,Men,1
The North Face,Black,50.0,Outerwear,5.0,l,Men,1
Hype,Black,50.0,Bottom,5.0,m,Women,1
Puma,Brown,32.0,Top,5.0,l,Men,1
Gucci,Blue,175.0,Bottom,5.0,xs,Men,2
Dior,Red,225.0,Bottom,5.0,s,Men,1
Hysteric Glamour,Green,100.0,Bottom,5.0,m,Men,2
Prada,Navy,225.0,Bottom,5.0,l,Men,2
Patagonia,Green,200.0,Outerwear,5.0,s,Men,1
Dolce & Gabbana,Silver,345.0,Acceorie,5.0,ONE SIZE,Men,1
Levi's Vintage Clothing,Blue,180.0,Bottom,5.0,m,Men,2
Dickies,Black,43.0,Bottom,5.0,m,Men,2
Bape,Blue,171.0,Top,5.0,xxl,Men,0
MLB,Red,55.0,Top,5.0,l,Men,1
Uniqlo,Grey,108.0,Outerwear,5.0,m,Men,2
Vans,multi_color,350.0,Footwear,5.0,m,Men,0
Rick Owens Drkshdw,White,179.0,Footwear,5.0,l,Men,1
Adidas,Black,114.0,Outerwear,5.0,m,Men,2
Gildan,Black,377.0,Top,5.0,l,Men,1
Kapital Kountry,Olive,37.0,Top,5.0,s,Men,2
Luxury,Blue,97.0,Outerwear,5.0,s,Men,1
Lee,Brown,58.0,Bottom,5.0,m,Men,1
NFL,Navy,52.0,Top,5.0,l,Men,3
Tour Tee,Black,47.0,Top,5.0,l,Men,1
Guess,White,47.0,Outerwear,5.0,m,Men,2
Gap,Olive,45.0,Bottom,5.0,l,Men,1
Converse,multi_color,40.0,Footwear,5.0,m,Men,3
Versace,Black,558.0,Footwear,5.0,l,Men,0
Yves Saint Laurent,Silver,170.0,Acceorie,5.0,ONE SIZE,Men,0
Maison Margiela,White,580.0,Footwear,5.0,m,Men,0
Issey Miyake,multi_color,280.0,Outerwear,5.0,m,Men,1
Fruit Of The Loom,White,65.0,Top,5.0,m,Men,2
Louis Vuitton,Navy,970.0,Acceorie,5.0,ONE SIZE,Men,0
Rick Owens,Beige,350.0,Footwear,5.0,m,Men,1
Number (N)ine,Green,180.0,Bottom,5.0,s,Men,1
NBA,Black,55.0,Top,5.0,l,Men,2
Fila,White,350.0,Bottom,5.0,xs,Men,1
Versace Jeans Couture,multi_color,65.0,Outerwear,5.0,l,Men,1
Anti Social Social Club,Black,105.0,Top,5.0,s,Men,0
Undercover,Black,89.0,Top,5.0,m,Men,2
Kanye West,Black,80.0,Top,5.0,m,Men,1
